sample,iterations,iterations_executed,cg_info,bound,a_min,actual_contrast,resolved_fraction,all_cells_resolved,certified_top10_recall,certified_high_count,certified_low_count,mean_bound_over_mean_abs_error,flux_to_baseline_bound_ratio,corrected_prediction_relative_l2,relative_l2_correction_error,same_A_identity_relative_error,numeric_tolerance,false_high,false_low,bound_violations,raw_positive_bound_exceedances,max_positive_bound_excess_over_error_scale,positive_flux_excess_over_baseline_bound,baseline_flags_lost_by_flux
63,20,20,20,baseline,1.0,100.0,0.8046875,False,0.1650485436893204,17,807,0.5694756056428125,0.3079812981118049,0.0001416767097565465,0.00290471116708689,4.234038448231046e-14,1.8096746853274961e-13,0,0,0,0,0.0,0.0,0
63,20,20,20,equilibrated_flux,1.0,100.0,0.9306640625,False,0.6213592233009708,64,889,0.1753878362688797,0.3079812981118049,0.0001416767097565465,0.00290471116708689,4.234038448231046e-14,1.8096746853274961e-13,0,0,0,0,0.0,0.0,0
63,40,40,40,baseline,1.0,100.0,0.998046875,False,0.9902912621359223,102,920,0.005855943914555779,0.31665360704095097,1.1072741737029274e-06,2.270176702232873e-05,4.234038448231046e-14,1.8096746853274961e-13,0,0,0,0,0.0,0.0,0
63,40,40,40,equilibrated_flux,1.0,100.0,1.0,True,1.0,103,921,0.001854305763173594,0.31665360704095097,1.1072741737029274e-06,2.270176702232873e-05,4.234038448231046e-14,1.8096746853274961e-13,0,0,0,0,0.0,0.0,0
64,20,20,20,baseline,1.0,100.0,0.037109375,False,0.0,0,38,1.0738090330854104,0.33338477238510966,0.00022452502751724548,0.008280608568601097,2.934627494319378e-14,1.3572616192042324e-13,0,0,0,0,0.0,0.0,0
64,20,20,20,equilibrated_flux,1.0,100.0,0.728515625,False,0.06796116504854369,7,739,0.3579915800802542,0.33338477238510966,0.00022452502751724548,0.008280608568601097,2.934627494319378e-14,1.3572616192042324e-13,0,0,0,0,0.0,0.0,0
64,40,40,40,baseline,1.0,100.0,0.9912109375,False,0.970873786407767,100,915,0.011815290116397217,0.34956761038788775,1.83305619989818e-06,6.760413769205228e-05,2.934627494319378e-14,1.3572616192042324e-13,0,0,0,0,0.0,0.0,0
64,40,40,40,equilibrated_flux,1.0,100.0,0.9951171875,False,0.970873786407767,100,919,0.004130242732028604,0.34956761038788775,1.83305619989818e-06,6.760413769205228e-05,2.934627494319378e-14,1.3572616192042324e-13,0,0,0,0,0.0,0.0,0
65,20,20,20,baseline,1.0,100.0,0.74609375,False,0.08737864077669903,9,755,0.528396353245163,0.3222253696098093,0.0001385073978805347,0.0027443876409230933,4.1515391778713566e-14,1.567848418147653e-13,0,0,0,0,0.0,0.0,0
65,20,20,20,equilibrated_flux,1.0,100.0,0.9306640625,False,0.6407766990291263,66,887,0.170262710224898,0.3222253696098093,0.0001385073978805347,0.0027443876409230933,4.1515391778713566e-14,1.567848418147653e-13,0,0,0,0,0.0,0.0,0
65,40,40,40,baseline,1.0,100.0,1.0,True,1.0,103,921,0.006761411790355954,0.32244016625686894,1.3496993941163426e-06,2.6742963862261997e-05,4.1515391778713566e-14,1.567848418147653e-13,0,0,0,0,0.0,0.0,0
65,40,40,40,equilibrated_flux,1.0,100.0,1.0,True,1.0,103,921,0.0021801507418135278,0.32244016625686894,1.3496993941163426e-06,2.6742963862261997e-05,4.1515391778713566e-14,1.567848418147653e-13,0,0,0,0,0.0,0.0,0
66,20,20,20,baseline,1.0,100.0,0.7373046875,False,0.3106796116504854,32,723,0.6167646823471016,0.3165951387313512,0.00015048160964838386,0.003917055384534879,3.4881714512751175e-14,1.4084722114022417e-13,0,0,0,0,0.0,0.0,0
66,20,20,20,equilibrated_flux,1.0,100.0,0.9130859375,False,0.6407766990291263,66,869,0.1952647001722784,0.3165951387313512,0.00015048160964838386,0.003917055384534879,3.4881714512751175e-14,1.4084722114022417e-13,0,0,0,0,0.0,0.0,0
66,40,40,40,baseline,1.0,100.0,1.0,True,1.0,103,921,0.006678128454292041,0.32978033150018843,9.312870111797584e-07,2.4241519014972246e-05,3.4881714512751175e-14,1.4084722114022417e-13,0,0,0,0,0.0,0.0,0
66,40,40,40,equilibrated_flux,1.0,100.0,1.0,True,1.0,103,921,0.002202315415457271,0.32978033150018843,9.312870111797584e-07,2.4241519014972246e-05,3.4881714512751175e-14,1.4084722114022417e-13,0,0,0,0,0.0,0.0,0
67,20,20,20,baseline,1.0,100.0,0.0,False,0.0,0,0,1.6063604976802286,0.3090409914770831,0.00021911488622213812,0.0080765285702152,2.69440884130591e-14,1.2850698648497492e-13,0,0,0,0,0.0,0.0,0
