sample,seed,relative_l2_prediction_error,raw_spearman
109,1,0.052287903877601724,0.305945233710035
109,2,0.05672795291990769,0.08100991971246692
110,0,0.04013302415561889,-0.1427436565696302
110,1,0.03911614871845552,-0.05424176114011872
110,2,0.034579359723102485,0.06342630176668335
111,0,0.02769383862914128,0.07124427794864457
111,1,0.03793812505118673,0.015976671464845146
111,2,0.0402983763710191,0.047101177490880476
112,0,0.05018857982310073,-0.10880579000071523
112,1,0.043435415732889705,-0.11631366899721048
112,2,0.04337975774082796,0.036263511640798225
113,0,0.056526852911392755,0.11037206744868035
113,1,0.0551703895387975,0.14261127825262856
113,2,0.0410968820252096,-0.03877115594378084
114,0,0.05589108725398977,-0.1289780215113368
114,1,0.054602173729613936,-0.16714360113725768
114,2,0.03737703862891077,-0.08617583685001073
115,0,0.033947637812635025,0.23475882447607463
115,1,0.03468464952377598,0.27134093814820115
115,2,0.04037074306074136,0.2745213481689435
116,0,0.062104720007696,-0.07869974206065374
116,1,0.06355844206277023,-0.09131138911737358
116,2,0.0795429273060149,-0.2561865880480652
117,0,0.07097801968174598,-0.10361416833559829
117,1,0.05231057032422561,-0.13212564149560116
117,2,0.06107086441390185,-0.1339522164008297
118,0,0.08632849894290351,0.04292961206279951
118,1,0.07258286388626037,0.09650045150561475
118,2,0.0616973240143205,0.06721877011658679
119,0,0.036707363776206925,-0.1716838924254345
119,1,0.03548604808668413,-0.13125820309706027
119,2,0.027575084557385356,-0.04869495878334883
120,0,0.0576848546551647,0.09982193467920748
120,1,0.05924466400343258,0.3808385599206065
120,2,0.04429556217241468,0.19407384351977683
121,0,0.03492418537440302,0.12638906149417065
121,1,0.03401076916996353,0.009944634682783777
121,2,0.041448209930103515,-0.1484136618446463
122,0,0.04391489933357615,-0.12779057292039195
122,1,0.04574703639099515,-0.12157602281667977
122,2,0.04156579175555791,-0.19739254389886274
123,0,0.02278386392319082,-0.0782335289857664
123,1,0.0403086771190061,-0.24575661835705598
123,2,0.026404342955832643,-0.035401437665403046
124,0,0.0420280290322351,0.08162569961018525
124,1,0.03629905600006353,-0.02290552803805164
124,2,0.049308505171670874,-0.13972099411701594
125,0,0.048042748333834095,-0.11073602120735283
125,1,0.04265404277506011,-0.0482223419283313
125,2,0.06862789441883572,-0.08224403878477934
126,0,0.031731766288939534,-0.22328681558901364
126,1,0.03975191113497791,-0.17697880158786924
126,2,0.021857620756893608,-0.16513055664830842
127,0,0.03669322026402429,-0.035501920016450896
127,1,0.04704495857759364,-0.06378798682140045
127,2,0.03068192734597121,0.0476410955046134
128,0,0.060491258193245405,0.0738678608468636
128,1,0.05020631449749183,-0.050619300300407684
128,2,0.046086728694691666,-0.07778691840712396
129,0,0.02519744114571869,-0.03811919971747371
129,1,0.0391464957067291,-0.1659000719726772
129,2,0.03393805020307122,-0.14757418550175236
130,0,0.03590813262121802,0.1326583175380874
130,1,0.037247014819215093,-0.06839772503755097
130,2,0.027858331284180082,0.0574488144624848
131,0,0.0436853383859158,0.24648087136113295
131,1,0.04324116170898327,-0.035852462717259136
131,2,0.026234760964815546,0.08238371495243545
132,0,0.04752024843539755,-0.14737099679922752
132,1,0.04442414494014957,-0.10339652921822473
132,2,0.03195970289738591,-0.08126103059509333
133,0,0.048561644061496635,-0.08457008618839854
133,1,0.049019911453627635,-0.12844411612187967
133,2,0.04780790885488309,-0.1912458313961805
134,0,0.05756753630029523,-0.13343082799871253
134,1,0.04423374486527874,-0.07042875151991988
134,2,0.05943072087606672,-0.18148617990487087
135,0,0.043853405019053195,-0.24305919640941276
135,1,0.058419979565632475,-0.024766669944925254
135,2,0.05843222967621918,-0.10716499177455117
136,0,0.05498817301653747,0.003690063747228381
136,1,0.05027003214056714,0.17133293621700876
136,2,0.04567718481125391,0.18597977835991703
137,0,0.07881201192428425,0.2837060340819684
137,1,0.06702315165784535,0.2352757760532151
137,2,0.07736893922501857,0.339305910700236
138,0,0.034538044371512686,-0.07674548270867605
138,1,0.034637665744088386,0.05735224366998068
138,2,0.03025976614876058,0.007277845826478793
139,0,0.05689492690151919,0.016970296742007007
139,1,0.042114106638635525,-0.01398767747299907
139,2,0.05002123439033339,-0.021134508440025745
140,0,0.04084707089080655,-0.030997648594521133
140,1,0.0432280191226582,-0.08819096005292897
140,2,0.029922722488186525,-0.06158311950146626
141,0,0.05209862371272369,0.22171604543666398
141,1,0.044290337572941034,0.13639613582719404
141,2,0.044154098878374785,0.06003686923324511
142,0,0.024956024234728372,-0.04252063067734782
142,1,0.036572944474256346,-0.21013075781417637
142,2,0.029303372274989723,-0.11714257295615478
143,0,0.07181734690402253,-0.39206577229811884
143,1,0.07665185132487773,-0.3780451595021815
143,2,0.0723706808637972,-0.42012842205493167
144,0,0.03629038755366484,-0.06479029575852943
144,1,0.043750994092547874,-0.17235736222373219
144,2,0.04150010548831111,-0.14826890065088333
145,0,0.050953270719214495,-0.2771089670803233
145,1,0.04578073816800625,-0.2750211112402546
145,2,0.041833559087654626,-0.10009866068235462
146,0,0.04042531963472502,0.1401830385880838
146,1,0.04365963423712358,0.13741172171160862
146,2,0.04032794807463212,0.11749112635004647
147,0,0.03971114225223708,0.06877360346184105
147,1,0.04891578816972792,0.10771357109648808
147,2,0.048512508866564524,0.06235584230384092
148,0,0.04334427605833496,-0.06075006929046563
148,1,0.04413275373360541,0.13958153029110934
148,2,0.04375151090280521,0.03020235051140833
149,0,0.046052231533626864,0.02597845960589371
149,1,0.04779598050605621,0.03286100332594234
149,2,0.03217091321223131,0.14549888017666832
150,0,0.07326040508726936,-0.26924475627637506
150,1,0.0696845190397681,-0.11541745270366924
150,2,0.044933235440266256,-0.05576714603747943
151,0,0.04758024156114645,-0.03293426122952578
151,1,0.07093298600955117,0.10296540841141548
151,2,0.06877811397780982,0.0817749870359774
152,0,0.03453108914372186,-0.047257908053787274
152,1,0.03909010605673672,-0.04260906542808096
152,2,0.03309748540502652,-0.008088354284385953
153,0,0.04439627475356308,-0.16072261014948858
153,1,0.047803982056409615,-0.0319892286853587
153,2,0.0443821451357007,-0.15617002539160288
154,0,0.024729569291955515,0.04364502494456762
154,1,0.03176144123375256,-0.018848694209999284
154,2,0.02617024318631663,0.007791623453257993
155,0,0.04664628101015134,0.060123348204706384
155,1,0.050367012170893476,-0.025619534993920317
155,2,0.04630149619170569,-0.13519363332379655
156,0,0.04805542583975879,-0.14135885308633145
156,1,0.05161316283548944,-0.0026586192868893496
156,2,0.04799786606150924,-0.24549324753236532
157,0,0.05025650697845719,-0.1257654249517202
157,1,0.05439933423082427,-0.14337376394750018
157,2,0.037282296669432086,-0.03921893998998641
158,0,0.04367845864539841,0.12766357020241756
158,1,0.0409107054558294,0.05962842429010799
158,2,0.04450735163418479,0.19522615513911734
159,0,0.05085519306853186,-0.014543029379157425
159,1,0.05807873899450258,-0.025172544435305057
159,2,0.046803457827645646,0.0624374597668264
160,0,0.04575681218023628,-0.3259456248658894
160,1,0.04444261335736296,-0.11190083863815176
160,2,0.0487640191920258,-0.42556970173807307
161,0,0.03543312416048017,-0.15668279718904224
161,1,0.03750949589777716,-0.13074715238538015
161,2,0.03208021680678651,-0.05566670838995779
162,0,0.0313476501048131,-0.08330907794506831
162,1,0.030600244154198538,-0.05144205752449752
162,2,0.02368885615082606,-0.15530579447106785
163,0,0.03367810348268933,0.047831811923324516
163,1,0.03341280875021544,0.05352119617695443
163,2,0.03562879185187429,0.052280863314498244
164,0,0.04194018279254801,0.11385557855303627
164,1,0.039642010513117984,0.2504867208175381
164,2,0.04317870436958999,0.12929085678778343
165,0,0.03466252866077525,-0.029658833863815175
165,1,0.03845229697677896,0.24571156837851366
165,2,0.04655410603023379,0.23377203883842354
166,0,0.05327689899315173,-0.157222469333381
166,1,0.050059726042369364,-0.08758470200629426
166,2,0.05603160679529389,-0.14123571722337458
167,0,0.04932814556416308,0.08491425863672125
167,1,0.02698102161348389,0.15908941152278092
167,2,0.042711490590132066,0.25061776920463485
168,0,0.03441120980641303,0.08768338504041198
168,1,0.032180232144879944,0.08588449279379157
168,2,0.03037079166723193,0.19729371557828482
169,0,0.0495976691961026,0.016200133216508115
169,1,0.044068876161029565,0.07256617239467848
169,2,0.04869925103905168,0.008800671446963736
170,0,0.026497027198716692,0.048595716955153426
170,1,0.03523035987439035,0.11683284457478005
170,2,0.039510890671506406,-0.0783748144803662
171,0,0.054919876043470206,-0.04083473776911522
171,1,0.05248906297220806,-0.029875634790072235
171,2,0.04710141769289548,0.004924786317144696
172,0,0.043548291345777874,0.08777844708890636
172,1,0.03969471439606388,0.16370698403190043
172,2,0.04447766514482057,0.08868561574637006
173,0,0.08950736599150366,-0.02971729490022173
173,1,0.06240663621062202,-0.07308790724912381
173,2,0.07469384445184046,-0.10822447652170804
174,0,0.03200950243531181,-0.03963960017166153
174,1,0.028793242655310806,-0.025017635541091477
174,2,0.03139469558109242,0.16391735882626418
175,0,0.042214253201049615,-0.039458036799942774
175,1,0.04066106835162308,-0.006204190061512052
175,2,0.040390227896393335,-0.07747311082898217
176,0,0.07864139824666909,0.023251667441527787
176,1,0.07924185936425623,0.010885655085473142
176,2,0.06214985754338926,-0.021308259870538585
177,0,0.0387147113924783,-0.08995665993133536
177,1,0.04214503338740787,0.02943956306773478
177,2,0.04651931824817709,-0.108024696463057
178,0,0.04882806011046452,0.2794430052392533
178,1,0.05578451467697093,0.35878368410700234
178,2,0.0492188676710167,0.1815520840783921
179,0,0.04956761583362226,0.05771855553966096
