sample,method,spearman,auroc,error_capture_top10,top10_overlap,relative_l2_correction_error,relative_A_correction_error,iterations_executed
2,amg,0.9987730111401187,0.9999578339289291,0.24598985436635556,0.9902912621359223,0.06929603720680831,0.08207447275724804,
3,raw,-0.20861051382233026,0.45606822470299274,0.06878663056708917,0.038834951456310676,,,
3,prediction_magnitude,0.6655979990701667,0.8731644582186944,0.24429460875911668,0.47572815533980584,,,
3,boundary_distance,0.43898910810853775,0.8121343411024319,0.20301858541734946,0.4143865842894969,,,
3,ensemble,0.18391739235390886,0.630741174114249,0.15572140437139315,0.2524271844660194,,,
3,poisson_pcg5,0.9594449610185249,0.9774727765303648,0.27738274973417154,0.7378640776699029,0.246074504844282,0.2532435690406251,5.0
3,poisson_pcg10,0.9952957697053143,0.9985663535835889,0.2913091069018024,0.941747572815534,0.05977054503827692,0.0871741900682392,10.0
3,poisson_pcg20,0.9998977518596666,0.9999789169644645,0.2917955979686692,0.9902912621359223,0.006000067639914473,0.01026085782706322,20.0
3,poisson_pcg40,0.9999999105929473,1.0,0.2918124177097502,1.0,5.6961792360363444e-05,0.00012161310333386501,40.0
3,poisson_pcg80,1.0,1.0,0.2918124177097502,1.0,3.834954371845983e-09,1.0260370401976263e-08,80.0
3,cg20,0.35023194424576204,0.8555284989932851,0.22697680849944318,0.5048543689320388,0.781016888720491,0.3814472852747787,20.0
3,diagonal_pcg20,0.9374297260567913,0.9978495303753835,0.2906841285815255,0.9223300970873787,0.18117997597996158,0.10290152424712182,20.0
3,amg,0.9966378924969601,0.9995150901826845,0.2914891633319904,0.9611650485436893,0.09354901195588243,0.08350705453344691,
4,raw,0.04921036808883484,0.5196652013956969,0.12048242328210597,0.14563106796116504,,,
4,prediction_magnitude,0.45538458443602026,0.7364936803600982,0.11602603154655977,0.10679611650485436,,,
4,boundary_distance,0.5892432834720108,0.8755521119930848,0.17941313074430523,0.42409532215357454,,,
4,ensemble,0.20317941536728415,0.6077712068983693,0.13400935584343152,0.11650485436893204,,,
4,poisson_pcg5,0.97661041100422,0.9953511906644319,0.2630700635994627,0.9029126213592233,0.1522532723847616,0.13916839273140336,5.0
4,poisson_pcg10,0.9897808633144981,0.9998207941979487,0.2653930167908423,0.9805825242718447,0.06496510241596347,0.04380788334779848,10.0
4,poisson_pcg20,0.9999431818181818,1.0,0.2654316368097789,1.0,0.004690293126032944,0.00548726524397342,20.0
