sample,relative_l2_prediction_error,identity_relative_error,energy_relative_error,raw_energy_spearman,a_min,a_max,unique_coefficients,coefficient_sha256
78,0.026446479953650914,5.271660698926772e-14,2.1188920637805677e-16,0.48143974411701596,1.0,100.0,1024,cec8c582f6472433cd593d7880ae378e566231c449abd8ea1c92b4b21b7bd8c8
79,0.06411885356007814,5.971453218773628e-14,2.2175721392983984e-15,0.6154298914598383,1.0,100.0,1024,8060f338f0db1b6480b1a7ac147f49821f524ea356e5c313a7c2c8b4396e64aa
80,0.07434204987650204,3.24815006669436e-14,2.731163243452882e-15,0.4477069773263715,1.0,100.0,1024,dc8c229523ba37e421cf8ffbf38e17702a5a9ac7947f5a6fa4106a9a5d7f0cde
81,0.038812871031809415,1.0877762994867987e-13,6.040927045374313e-16,0.6449195783563407,1.0,100.0,1024,b60bf035f2d10df0e73cd92dcb93f1f914fa6b9639781e8bfdce5e374ebb8b93
82,0.016683525628607383,4.0426392114205076e-14,2.774277122343252e-16,0.5384801695157714,1.0,100.0,1024,858c7148b34851e59ce1ee5b1704a50eb3ed6d537a11f709adf05557d2631204
83,0.01883626105733763,8.997930140061889e-14,1.7230990858958188e-16,0.4795722990129461,1.0,100.0,1024,f83656c9837ce0f6f5a5aad209da8db651e1b8f1066d3a8384261f15ab3b8459
84,0.020773640564090645,4.6059081402631826e-14,4.817980605959246e-16,0.5376408831628638,1.0,100.0,1024,d65a06221dd4a46d411efb8164387688d5fbd41f7fc835d57e962390dd6275f9
85,0.02809686438309334,8.309457460219128e-14,2.991474750336408e-16,0.5500974425112652,1.0,100.0,1024,d1ce4f5ccd0f910d38900c6ba6343ad52cb5e237f114e2d61d19ce6169e3d728
86,0.03476026496211588,2.853547654982616e-14,4.49545409335075e-16,0.5380945457227666,1.0,100.0,1024,1bf7c6dde73d1d28270e0d9d8ab86f7a7093ef43008ca509f90a13d769b07b7e
87,0.03156834914871372,1.8523567134556425e-14,5.229390302713294e-16,0.4936627275409483,1.0,100.0,1024,43b1780cce6fbe8c54d6072be9831c7f6cf1ea2155dea8ffe2f352c361c360a7
88,0.03672269463588426,1.469925003664854e-14,4.05762470914103e-16,0.5267166824619125,1.0,100.0,1024,bdd4715c0cc19bba40e6266a46a360a2d83523b95f448afb2b24719bdfdd72a7
89,0.04310244201376914,4.0746693740977066e-14,4.480612589452438e-16,0.5720750147521636,1.0,100.0,1024,9ec92ffaa3a413b6828d69eb97971165f1363595cdc692127a1b665989446c3c
90,0.04115372430283887,2.6286217218405684e-14,7.31985606967978e-16,0.5731295709355554,1.0,100.0,1024,1b207783431912b55043386537d19b4918e0a4a9e0833218f40976b9a17cb8ff
91,0.01938237669801725,4.938310169645303e-14,3.403055979267463e-16,0.6072152497138973,1.0,100.0,1024,0ea0b1070024949d9e7d0cec1e7f6a7379f529fdb3afbe959f1f9c9ee1a6c484
92,0.05448295219471194,1.734453734012442e-14,6.44592382625056e-16,0.44214382465488866,1.0,100.0,1024,cc8a368a86e4b923446fcde61ec05ad86335c5c48ae1080fef083df0640a63c3
93,0.02014552183594586,1.9111331373583878e-13,4.094115724173058e-16,0.5928658760102996,1.0,100.0,1024,16b1c04defdc3f69cc56db6a7556c164351d2f9a67f49792362c2bbe98de40de
94,0.02585016701586332,2.693502875567284e-14,3.611002266011886e-16,0.5282933981832486,1.0,100.0,1024,6d3ad7bd95a4d0e2c93be0226c5ab010731cd0bce97569d921d39ff6468c9c07
95,0.032895227102630355,2.3436225600850683e-14,2.526330119447211e-16,0.5069988287676133,1.0,100.0,1024,80d4a40d22eec0e6795a497e8ea55825ff63f580b57cc8558eb788bf72f17da8
96,0.04317922801499649,3.3575500796458396e-14,7.605273999591756e-16,0.49231239047636066,1.0,100.0,1024,2c21281648fab9d94acb7bd5659d178ee5e4caa28b6e3af25c9dff92ffb7a722
97,0.03722136077771187,2.4794508100329927e-14,2.8722244338208623e-16,0.5986396493455404,1.0,100.0,1024,35bb849ab859a9e53280328cb9ffcadd35c86454f892f4ac7c4fb7e8dc3e8aa4
98,0.05009020333861044,9.683362614245911e-15,2.0010975986351533e-16,0.4279208278198983,1.0,100.0,1024,80acab8b8d0a04966b4a07b72dd5d85a1a076a89218d47445928e4fa972e939b
99,0.05738207777688661,6.413625728145516e-14,1.5696277655971468e-15,0.5865998050926257,1.0,100.0,1024,b85e803359cb861e35afcd8ba699a65e40b968b6bcfa384077ceb28abf10438d
100,0.05065456263415434,2.2543222414118665e-14,1.1589330710062843e-15,0.523731749785423,1.0,100.0,1024,b6351cea6c5be01505d48a79bacdbef59e1167db861bbe996ac56ad907b35f21
101,0.01791307884745701,6.72348028902114e-14,1.7517098841796358e-16,0.5030818163936771,1.0,100.0,1024,9bdfcea8b94e2bad8de79f6cb40a1204152656ec691ac2d2e6cfbad30abf830c
102,0.015521352600649789,4.1624863776233746e-14,1.3510105923708562e-16,0.4934457701523495,1.0,100.0,1024,3e3e5bbd185ae33a15dffae7ebc47bd542e80f511ad76a9a0abe18c80c8b5c1d
103,0.08021468838903761,1.3039483931064131e-14,1.8135546979846178e-15,0.41869155013947496,1.0,100.0,1024,a6fbfaec8cc335c2f228d5e11a27680bcbe646043e5309ab9318da799713122c
104,0.03141387411695848,1.8993995451938523e-14,4.3397562853102533e-16,0.5695308141406193,1.0,100.0,1024,1d1ebdfce2bd67c8f245b4c474aea82131e31786de702c35545ef7741d954a15
105,0.05819024073380427,1.9756299076233224e-14,1.71242432858457e-15,0.45822225252127885,1.0,100.0,1024,a02679c07a30dbba465377e490b605dce589143a3962bc1509398f384e697725
106,0.027123847142641693,4.818465414940833e-14,2.6640350302200845e-16,0.5930942439739646,1.0,100.0,1024,0b234b1ae62a3fdf21a717e8bd03cf49d5fead3f222cc92c3917966fd109c5bb
107,0.02830271554098307,2.9975644828657724e-14,2.813564412380665e-16,0.5282203749731778,1.0,100.0,1024,72d143ddf8e3cd88b2f767b3981a055318a440a1ae8fe0fd240184b9149a85c3
108,0.03561674762717219,4.0173739297627554e-14,6.521442109594411e-16,0.3568137785208497,1.0,100.0,1024,9f2023f23ee97f12b6035e207128432630caa35f6458d8a60d318003b4bcb0a0
109,0.05154967966110307,4.605487691598488e-14,2.757374063407799e-15,0.4778118406229883,1.0,100.0,1024,3b90eb4ec25f795e9f2585e723700e692e2455aedcd6e85f34894e678f10030c
110,0.03318005538641712,2.7621824792919263e-14,5.195167342044318e-16,0.6151844579250411,1.0,100.0,1024,48f5bc0af7b9a6841085d1350212c7602a51c78de84e07c3980de1f2b1a44a35
111,0.027684769878900416,2.5573176394202082e-14,4.004578459939706e-16,0.5557898666046777,1.0,100.0,1024,2b2a5443a9bf8d4d36bd37b6e327d1f38ff3af149d27b70260d96eef1a3da5ac
112,0.04006578445750342,1.8052342056206753e-14,4.825606295808646e-16,0.5482243982905372,1.0,100.0,1024,e4ab5ddc103fa704bdc18ad8d9d3cb353fdea3cc2a0fe486a6863287fa40eb38
113,0.04617257131687484,1.7839031594278417e-14,1.65576382931254e-15,0.6075867471926184,1.0,100.0,1024,1690b6c20e9320f4a3c2a31ed0aae074159435fcd01f98e0918fe66439b0b412
114,0.04377958178372735,3.0549248903759294e-14,4.624203785815242e-16,0.2939923266397253,1.0,100.0,1024,076ce322acca338324e2d86f9a9b69af0d91c658b92f585993762bc5db499e8a
115,0.03256305052208505,2.2222492538650358e-14,1.173507739663104e-15,0.6636279481975538,1.0,100.0,1024,d84180ec20dacea506f9b84bac88f3fbc33277468af01cdd9975f70269c61b5f
116,0.06600704985911657,7.39294347381377e-15,1.4898968583948966e-15,0.26756537890708815,1.0,100.0,1024,b6feceda7babb30f9b93bdcb0d0a0a97a0782217390a9ba64cc4af03a8080f67
117,0.059143945115376934,2.286974113573843e-14,1.2630008541843895e-15,0.4284997161326085,1.0,100.0,1024,de8ce781edc68b58e1ef81b14722107ef8b1d1b5f7d2e0d3bf888e774abb2b13
118,0.07015896457323444,4.627976895675191e-14,1.2556419529720838e-15,0.5186592518417852,1.0,100.0,1024,13a1436280ea46f0a11eed2e1e28f64312f71cca6dd13aa431191b82534327e9
119,0.027198158084877876,2.992805128335946e-14,5.414867856870015e-16,0.4238220285566125,1.0,100.0,1024,ebb4fec79344d8d3f3e322827bae6df77eba013800c188ce063a9c63c3df70bb
120,0.047490147058620716,3.946597950953064e-14,1.007505115141434e-15,0.6853833662649308,1.0,100.0,1024,702c04373217b36decd4e22fc55630674d59479569cd68f4113a73d7edfc3166
121,0.028997763430663157,2.813973583308287e-14,5.998847684785853e-16,0.41696024962449035,1.0,100.0,1024,56477842416a7c952292515912d1f8d0466631a1d7941d7cace2ce7a252f711b
122,0.0407437498782881,1.4042262188336817e-14,6.448546483026421e-16,0.43759790072240884,1.0,100.0,1024,13498d866929c364a2d9c7f5e19cfa018b695816209e7a8ca6b75b9f4de633ba
123,0.02179103453440558,7.081770214385647e-14,1.6162929672105607e-16,0.5082307350153781,1.0,100.0,1024,f987208c2b39825172f083b44fc4bb2388eea3a198beeb4bc09201f377c33186
124,0.036813024226074305,2.0267412772218026e-14,7.684522823625874e-16,0.6351839103068451,1.0,100.0,1024,baeb2932663a88886150a3b652f05ac6a8dd2ffab53039688fef943068b63fb3
125,0.04732074168262148,2.505495785022663e-14,3.6794339346023763e-16,0.5496003057721192,1.0,100.0,1024,05ad31a5dc98f6946b58c09283cc7f346ffc108e7d47e2ee7e820e6065c54e0b
126,0.027866212344685365,2.995791077065533e-14,4.0746868976291745e-16,0.49501399220370507,1.0,100.0,1024,06a78f6d07e9cfe3d9c2383e7313cf4152cba36205e4990419b038fe8599007c
127,0.03171809769216793,4.717948979608868e-14,2.980837111001066e-16,0.6606530291109362,1.0,100.0,1024,4a7d47dfb6cdca0dd5700b0a5629e8c27df17c79c6774d6ba543a972dcc1e698
128,0.048537851166150316,3.4540324179745575e-14,7.747248171684135e-16,0.5266074270438452,1.0,100.0,1024,b7a92814e0665546d19f72bd5b0f7a6995298e2b61c488ce65e8a4625c7bf9f7
129,0.027386941618007976,1.913885288556998e-14,6.4033282665003e-16,0.5236019083935339,1.0,100.0,1024,134ddc85abe03d9208e1c16c3a400a8bd601f0a4ddd46c94bc9d46525e755757
130,0.024839098349061638,6.579368089629947e-14,3.7566580122714583e-16,0.6444203517273442,1.0,100.0,1024,5f4c3da1157838734ef07571c2143e035d586bc413e35a1c7ffb3d32a8a142d0
131,0.031166080476475552,1.067268264587513e-13,3.4434210387385866e-16,0.6036201362563478,1.0,100.0,1024,151bbee1a2f8f4b25b4790db5e3c2adbb77d62f8302875d35776fa5f7d03d594
132,0.038011147293857,1.522420875510985e-14,8.170678611406001e-16,0.4496171701773835,1.0,100.0,1024,9c850c69c34191ab52a4e948d053c112d4f8b18f755996b1936ae776106ff801
133,0.04569917919887154,1.3204578438052497e-14,6.780407221126954e-16,0.5111923100994206,1.0,100.0,1024,a99f0a29db2587b358aaba0300dcf2ebcd3d0a0e93dc8a424614a0962c77c851
134,0.05126566486997635,1.5115402533680805e-14,5.516767931836989e-16,0.46374132751591435,1.0,100.0,1024,745617dc954beafaa72b30b1a1d765d89ea384195f8b4df0aeda0fdef08222d4
135,0.050553936260078015,4.600548494509094e-14,9.950385269440873e-16,0.5337569849259709,1.0,100.0,1024,5c498d867b49b271729ac3a6556879fb00c615f75bf97fa7497e00538963f068
136,0.045521183320529755,7.005893533143108e-14,1.355205034214674e-15,0.6758097261461983,1.0,100.0,1024,e09506b8470b63e5c2c12033fe8f7b11cf5329be723572403198a2002c26867c
137,0.0714736302671676,4.138933696159388e-14,2.633394128158857e-15,0.5985160776232028,1.0,100.0,1024,8cf6038d5a799a360de6efcddba2fdd46c6e7b4f64bedbe11fe8de6960512fb8
138,0.029115630818678545,2.2139820406622745e-14,7.696759456159026e-16,0.5921473897611043,1.0,100.0,1024,bbfb9a4b424e7f98cd7d930bf4c3c32633c9b8c408150183b45ac011f9f4aa61
139,0.04708153731316478,4.0934633084217024e-14,1.6937385986748956e-15,0.44350762865674836,1.0,100.0,1024,20e17cf8c1b7bbdf040946ac9380b184ec1d89f5f85039b368d9e279908335b6
140,0.030517654168238453,1.5635953123675517e-13,5.311274600385881e-16,0.6127179855697017,1.0,100.0,1024,2ac85cd0893beb70233776c320c40dc18affca0faa7d93af0173291123e371d3
141,0.04335308543095769,3.934771858881523e-14,1.646659625824164e-15,0.4736363636363635,1.0,100.0,1024,9051071b85745411884cba4e284e9692ca50623415459ad502946ff13ef2dd90
142,0.026526914589987613,3.32704488971021e-14,5.788357586670806e-16,0.5027338888491524,1.0,100.0,1024,aa6bf7d31c75c30756aba4e552e080fd2e0c759cc0d7c4c207fcaeaf7a3295cc
