test_set,test_label,family,method,method_label,alpha,qhat,mode,scale_floor,calibration_count,coverage_scope,scale,hybrid_sigma_calib_median,hybrid_rung4_calib_median,marginal_coverage,fieldwise_coverage,mean_width,interface_coverage,interior_coverage,width_error_spearman,width_error_auroc_top10,marginal_coverage_ci95_low,marginal_coverage_ci95_high,fieldwise_coverage_ci95_low,fieldwise_coverage_ci95_high,mean_width_ci95_low,mean_width_ci95_high,interface_coverage_ci95_low,interface_coverage_ci95_high,interior_coverage_ci95_low,interior_coverage_ci95_high,width_error_spearman_ci95_low,width_error_spearman_ci95_high,width_error_auroc_top10_ci95_low,width_error_auroc_top10_ci95_high,weighted_claim_scope,weighted_ratio_model,weighted_classifier_train_auc,weighted_effective_sample_size,weighted_weight_min,weighted_weight_max,unweighted_scalar_qhat,unweighted_scalar_fieldwise_coverage,weighted_scalar_fieldwise_coverage
test_r,TEST_R,R,raw_residual_norm,raw |r| norm,0.1,0.0036797855672185014,cellwise,0.0666141523580718,204800,empirical_pooled_cell_diagnostic,abs_r,0.00058948121035326,0.0006868949683765302,0.51107421875,0.0,0.024356951345611746,0.5534910727246335,0.5063133713131269,0.16226068798739185,0.6089930478690322,0.49880664062499996,0.523835205078125,0.0,0.0,0.023205789587029135,0.025567655149965233,0.5376400556935848,0.5695024684545764,0.49320647273791296,0.5187552867453027,0.15227457528928026,0.172363532546252,0.6002890286518452,0.6170749165902407,,,,,,,,,
test_r,TEST_R,R,jacobi20_norm,Jacobi-20 norm,0.1,8.890708382647864,cellwise,2.0530146365369923e-05,204800,empirical_pooled_cell_diagnostic,jacobi20,0.00058948121035326,0.0006868949683765302,0.839267578125,0.0,0.05011577503646584,0.8522281898679054,0.8378128852514215,0.3101428758701701,0.7713569568746508,0.8313807373046875,0.8467110595703125,0.0,0.0,0.04896343596177879,0.051240626777403014,0.8403615515253066,0.8632790214704494,0.8299054226029483,0.8451915748066372,0.2845923718393958,0.3349209032901911,0.7534545199392809,0.7887787388128141,,,,,,,,,
test_r,TEST_R,R,rung4_norm,rung-4 norm,0.1,1.6990971306586913,cellwise,3.434474841882651e-05,204800,empirical_pooled_cell_diagnostic,rung4,0.00058948121035326,0.0006868949683765302,0.950791015625,0.0,0.02314976951375551,0.9590167900517733,0.9498677586309896,0.9791894140897353,0.997980930394358,0.9448629150390625,0.95592822265625,0.0,0.0,0.022249091201558987,0.024056155756964986,0.9513941167361692,0.9660418617836146,0.9445387533526033,0.9548175233745483,0.9763461679485878,0.9816679126440642,0.9975789467442522,0.9983690111002181,,,,,,,,,
test_r,TEST_R,R,hybrid_ens_rung4,ens+rung4 hybrid,0.1,0.0012888526391874008,cellwise,0.05441712664134906,204800,empirical_pooled_cell_diagnostic,hybrid,0.00058948121035326,0.0006868949683765302,0.9512109375,0.0,0.01935418872478172,0.9301301591909807,0.9535770339917342,0.8770423650847577,0.9733070849540917,0.946528076171875,0.9554251708984375,0.0,0.0,0.01879011588666975,0.019928379763494646,0.9207352554707275,0.9391538199853297,0.9494284886649256,0.9576017429297776,0.869305103597628,0.8843217897447875,0.9702093953912484,0.9763257289459537,,,,,,,,,
test_b,TEST_B,B,global_cell,global cell,0.1,0.0030437136774388463,cellwise,,204800,empirical_pooled_cell_diagnostic,none,0.00058948121035326,0.0006868949683765302,0.4627734375,0.0,0.00608742735487769,0.41205714285714284,0.5723456790123457,0.0,0.5,0.46236328125,0.463154296875,0.0,0.0,0.00608742735487769,0.00608742735487769,0.4117571428571429,0.41235714285714287,0.5716975308641975,0.5729938271604939,0.0,0.0,0.5,0.5,,,,,,,,,
test_b,TEST_B,B,global_field,global field,0.1,0.010979890477065827,fieldwise,,200,exchangeable_field_split_conformal,none,0.00058948121035326,0.0006868949683765302,0.8515234375,0.0,0.02195978095413165,0.8321142857142857,0.8934567901234568,0.0,0.5,0.85138671875,0.85166015625,0.0,0.0,0.02195978095413165,0.02195978095413165,0.8320142857142857,0.8322142857142857,0.8932403549382717,0.8936728395061728,0.0,0.0,0.5,0.5,,,,,,,,,
test_b,TEST_B,B,ensemble_norm,ensemble norm,0.1,5.280740297437959,cellwise,2.9474060517663e-05,204800,empirical_pooled_cell_diagnostic,sigma_ens,0.00058948121035326,0.0006868949683765302,0.5239453125,0.0,0.008456970035977647,0.4792571428571429,0.6204938271604938,0.25469446704456045,0.641059633366012,0.523876953125,0.524013671875,0.0,0.0,0.008453074973801523,0.008460865098153773,0.47915714285714284,0.47935714285714287,0.6200925925925926,0.620895061728395,0.2538772798798369,0.255511654209284,0.6403346404815367,0.6417362933915226,,,,,,,,,
test_b,TEST_B,B,raw_residual_norm,raw |r| norm,0.1,0.0036797855672185014,cellwise,0.0666141523580718,204800,empirical_pooled_cell_diagnostic,abs_r,0.00058948121035326,0.0006868949683765302,0.788515625,0.0,0.6170637660019296,0.8013714285714286,0.7607407407407407,0.1042447739233755,0.6056658549697984,0.788310546875,0.788720703125,0.0,0.0,0.6165506325880628,0.6175778862108229,0.8011714285714285,0.8015714285714286,0.7605401234567901,0.7609567901234567,0.10347809519072428,0.10501145265602677,0.605248932671326,0.6060820340912683,,,,,,,,,
test_b,TEST_B,B,jacobi20_norm,Jacobi-20 norm,0.1,8.890708382647864,cellwise,2.0530146365369923e-05,204800,empirical_pooled_cell_diagnostic,jacobi20,0.00058948121035326,0.0006868949683765302,0.5826953125,0.0,0.011337771580610955,0.5295428571428571,0.6975308641975309,0.016644804929825147,0.4817680233600035,0.5821240234375,0.583310546875,0.0,0.0,0.011336387440293711,0.011339155720928196,0.5286428571428572,0.5304428571428571,0.6975308641975309,0.6975308641975309,0.015083157892210864,0.018326578662640525,0.48143744136280753,0.4820986053571994,,,,,,,,,
test_b,TEST_B,B,rung4_norm,rung-4 norm,0.1,1.6990971306586913,cellwise,3.434474841882651e-05,204800,empirical_pooled_cell_diagnostic,rung4,0.00058948121035326,0.0006868949683765302,0.374765625,0.0,0.004946097271494819,0.3289142857142857,0.47382716049382717,0.7639225189569383,0.9689564424485837,0.3739453125,0.37564453125,0.0,0.0,0.004741793217435043,0.005164764508394574,0.3276142857142857,0.33021428571428574,0.4736111111111111,0.4740432098765432,0.7450056799883306,0.7814559725106188,0.9678786407766992,0.9701299281595563,,,,,,,,,
test_b,TEST_B,B,hybrid_ens_rung4,ens+rung4 hybrid,0.1,0.0012888526391874008,cellwise,0.05441712664134906,204800,empirical_pooled_cell_diagnostic,hybrid,0.00058948121035326,0.0006868949683765302,0.39671875,0.0,0.0044817822971396385,0.3429714285714286,0.5128395061728395,0.7506347045208677,0.9491979486206426,0.3958984375,0.3975390625,0.0,0.0,0.004368275201029792,0.004587725230254675,0.3425714285714286,0.34337142857142855,0.5112345679012346,0.5145679012345679,0.7338811798741373,0.7673018738111657,0.9489151658180744,0.9494731349419689,,,,,,,,,
test_cs,TEST_CS,C,global_cell,global cell,0.1,0.0030437136774388463,cellwise,,204800,empirical_pooled_cell_diagnostic,none,0.00058948121035326,0.0006868949683765302,0.83591796875,0.015,0.00608742735487769,0.7387860232298197,0.8603448908008751,0.0,0.5,0.8161119384765625,0.8556750488281251,0.0,0.035,0.00608742735487769,0.00608742735487769,0.7090364645631448,0.7684992905056605,0.8413025504357649,0.8783171370496271,0.0,0.0,0.5,0.5,,,,,,,,,
test_cs,TEST_CS,C,global_field,global field,0.1,0.010979890477065827,fieldwise,,200,exchangeable_field_split_conformal,none,0.00058948121035326,0.0006868949683765302,0.990693359375,0.765,0.02195978095413165,0.9787626962142197,0.9936937047040563,0.0,0.5,0.9856535644531249,0.99513232421875,0.705,0.825,0.02195978095413165,0.02195978095413165,0.9680172199502802,0.988101390551783,0.9897206321663852,0.9970921564697666,0.0,0.0,0.5,0.5,,,,,,,,,
test_cs,TEST_CS,C,ensemble_norm,ensemble norm,0.1,5.280740297437959,cellwise,2.9474060517663e-05,204800,empirical_pooled_cell_diagnostic,sigma_ens,0.00058948121035326,0.0006868949683765302,0.868369140625,0.0,0.008382015383249588,0.8260193419837683,0.8790193466384757,0.3443981190860225,0.6965177150206087,0.856102294921875,0.8801129150390625,0.0,0.0,0.008135899630217365,0.008633805187755786,0.8100653838292335,0.8414095501216927,0.8679559550452746,0.8893190361677576,0.3279019141868164,0.36115593423130227,0.6861897110833519,0.706481483824041,,,,,,,,,
test_cs,TEST_CS,C,raw_residual_norm,raw |r| norm,0.1,0.0036797855672185014,cellwise,0.0666141523580718,204800,empirical_pooled_cell_diagnostic,abs_r,0.00058948121035326,0.0006868949683765302,0.8946923828125,0.0,0.27622263579958917,0.9326189434805852,0.8851545408992582,0.2582530409901502,0.6926615751135847,0.8883087158203125,0.9011926269531251,0.0,0.0,0.2641271522987735,0.2889050621757572,0.9273723722546503,0.9373773481579926,0.8776200631043081,0.8924968566115217,0.23819200234360716,0.27939757768381673,0.6781369731876496,0.7063470406006557,,,,,,,,,
test_cs,TEST_CS,C,jacobi20_norm,Jacobi-20 norm,0.1,8.890708382647864,cellwise,2.0530146365369923e-05,204800,empirical_pooled_cell_diagnostic,jacobi20,0.00058948121035326,0.0006868949683765302,0.8674609375,0.0,0.010961355855749888,0.8495650483549594,0.8719614289380736,0.4571683164899061,0.7918158554968744,0.856771728515625,0.8772720947265625,0.0,0.0,0.010662229016828714,0.011292755933893813,0.8365161085699462,0.86279369206452,0.8616973871275775,0.8822230733225174,0.4402966580195871,0.47339749243382856,0.7769206836437811,0.8067843422883526,,,,,,,,,
test_cs,TEST_CS,C,rung4_norm,rung-4 norm,0.1,1.6990971306586913,cellwise,3.434474841882651e-05,204800,empirical_pooled_cell_diagnostic,rung4,0.00058948121035326,0.0006868949683765302,0.866337890625,0.01,0.004774524035836753,0.8258249501871021,0.8765261601261259,0.9007262474570382,0.9675930025405057,0.84830322265625,0.8821346435546874,0.0,0.025,0.004373864082713717,0.005209936769277342,0.8039925499073671,0.8458080413569302,0.858488150017525,0.892822267498315,0.8857733502373105,0.9155448540331893,0.958232390394569,0.9752156880185109,,,,,,,,,
test_cs,TEST_CS,C,hybrid_ens_rung4,ens+rung4 hybrid,0.1,0.0012888526391874008,cellwise,0.05441712664134906,204800,empirical_pooled_cell_diagnostic,hybrid,0.00058948121035326,0.0006868949683765302,0.849970703125,0.0,0.004371530626436223,0.7800699810467998,0.8675494665314154,0.821920591430206,0.9538654691502484,0.8339628906250001,0.8652794189453125,0.0,0.0,0.004115798856114258,0.004653596668633263,0.7596932775009722,0.7993701860539383,0.8517907772754286,0.8812637484711676,0.8076307502453979,0.8348915277931829,0.9467528817874197,0.9603056578961238,,,,,,,,,
test_r,TEST_R,R,weighted_field_cp,weighted field,0.1,0.009488930050615477,fieldwise,,0,empirical_weighted_field_diagnostic,none,0.00058948121035326,0.0006868949683765302,0.7245703125,0.0,0.018977860101230943,0.6457153916872308,0.7334209511603026,0.0,0.5,0.705934326171875,0.743419677734375,0.0,0.0,0.018977860101230953,0.018977860101230953,0.6197779068079547,0.6692959293212584,0.7142297382578929,0.7515830183136122,0.0,0.0,0.5,0.5,roughness-shift weighted-CP diagnostic,logistic,1.0,77.30840582087133,0.09934370999719375,6.829917564485534,0.010979890477065827,0.0,0.0
test_b,TEST_B,B,weighted_field_cp,weighted field,0.1,0.012714453699767958,fieldwise,,0,empirical_weighted_field_diagnostic,none,0.00058948121035326,0.0006868949683765302,0.942265625,0.0,0.02542890739953592,0.9334285714285714,0.961358024691358,0.0,0.5,0.94185546875,0.94267578125,0.0,0.0,0.02542890739953591,0.02542890739953591,0.9329642857142857,0.9339285714285714,0.961141975308642,0.961574074074074,0.0,0.0,0.5,0.5,documented support-breaking failure diagnostic,logistic,1.0,65.7610445497366,0.023680580318119412,8.399506094649432,0.010979890477065827,0.0,0.0
test_cs,TEST_CS,C,weighted_field_cp,weighted field,0.1,0.013929510250730585,fieldwise,,0,empirical_weighted_field_diagnostic,none,0.00058948121035326,0.0006868949683765302,0.9967822265625,0.895,0.027859020501461166,0.993050493269184,0.9977206897816018,0.0,0.5,0.99419921875,0.9987890625,0.85,0.935,0.027859020501461166,0.027859020501461166,0.988464949456941,0.9968159380583167,0.9956711851301011,0.9992422785130906,0.0,0.0,0.5,0.5,in-family geometry-shift empirical weighted-CP diagnostic,logistic,0.791925,82.48795030867122,0.03512797622100591,7.357067941601253,0.010979890477065827,0.765,0.895
