sample,method,spearman,auroc,error_capture_top10,top10_overlap,corrected_prediction_relative_l2,relative_l2_correction_error,iterations_executed
22,amg,0.934377928080967,0.9932007210398153,0.4104668888355745,0.8446601941747572,0.03636456811964327,0.23685891528313127,
23,raw,0.3083093685179887,0.7889693558078492,0.23088732495012618,0.3106796116504854,,,
23,prediction_magnitude,0.38881403780130175,0.6539219716854833,0.06989110682337199,0.0,,,
23,ensemble,0.5073615643551963,0.7993211262557584,0.25266434734524523,0.3883495145631068,,,
23,cg20,0.4029988242972605,0.8418983165196124,0.27812676961608473,0.4174757281553398,0.014886117257827708,0.863071941251242,20.0
23,diagonal_pcg20,0.653896236410128,0.7194796706829849,0.27452483783799675,0.33980582524271846,0.013465202681656121,0.7806897135441658,20.0
23,poisson_pcg20,0.9999964907731921,1.0,0.42236532052868236,1.0,8.978565316595449e-06,0.0005205620554527271,20.0
23,amg,0.7681108401580715,0.9704415841792902,0.40239600919977964,0.7475728155339806,0.006864448488582914,0.39798913175596995,
24,raw,0.20488171446963735,0.672200963494724,0.14133918519462868,0.24271844660194175,,,
24,prediction_magnitude,0.524551422466204,0.7637224207541402,0.1578922017646496,0.1650485436893204,,,
24,ensemble,0.8679019182283096,0.9557150838577738,0.25495111380929175,0.6699029126213593,,,
24,cg20,0.2163129425649095,0.6577380011174009,0.18299097574340545,0.23300970873786409,0.05375602410429887,0.8953327574339388,20.0
24,diagonal_pcg20,0.6286610064551891,0.7852271170003057,0.23559198256167094,0.4077669902912621,0.03966867348754539,0.6607010732125617,20.0
24,poisson_pcg20,0.9999970048637435,1.0,0.27806911900113807,1.0,4.549352148160886e-05,0.0007577167529071717,20.0
24,amg,0.9948679457835632,0.9987877254567112,0.2775391996046719,0.941747572815534,0.0034704100984624077,0.05780137007257674,
25,raw,0.19014736517416492,0.7509250181841182,0.16102811281919657,0.23300970873786409,,,
25,prediction_magnitude,0.5379803170374078,0.7567650190274395,0.15467898147846124,0.10679611650485436,,,
25,ensemble,0.842968671768829,0.9535329896798541,0.33376062748174606,0.5533980582524272,,,
25,cg20,0.40423801721979824,0.9027017910038687,0.3413022315945852,0.6601941747572816,0.3142677974477486,0.7662364479431713,20.0
25,diagonal_pcg20,0.948330714451756,0.9873818032320294,0.38317111550111604,0.7961165048543689,0.11586189485725952,0.28249030759237187,20.0
25,poisson_pcg20,0.9999935291645804,1.0,0.39841804143781057,1.0,0.0005188339198637838,0.001265002214854533,20.0
25,amg,0.9982795624418853,0.99930425982733,0.39764800566686365,0.9514563106796117,0.050452590211205114,0.12301169202483674,
26,raw,0.2680930481546384,0.7315075424559628,0.19466780203545905,0.2621359223300971,,,
26,prediction_magnitude,0.16480589728917816,0.5137830344813046,0.07856787627507063,0.06796116504854369,,,
26,ensemble,0.4609605111401187,0.8681677787967912,0.358880024838401,0.6116504854368932,,,
26,cg20,0.3835471577498033,0.830903513487872,0.32130341498155385,0.5145631067961165,0.030803859392030303,0.7677912806895032,20.0
26,diagonal_pcg20,0.6677277756419425,0.9537016539641378,0.3757460668507689,0.6601941747572816,0.02292338702630796,0.5713692060035753,20.0
26,poisson_pcg20,0.9999361298369215,0.9999894584822323,0.45464568475305106,0.9902912621359223,0.00011163459074232311,0.002782510603767805,20.0
26,amg,0.807667638223303,0.9955620210197864,0.44430957234779345,0.912621359223301,0.018774163570779913,0.46794912638812836,
27,raw,0.13981965479937056,0.6767865237236858,0.16284373657409196,0.2524271844660194,,,
27,prediction_magnitude,0.5567013826800657,0.8573627230848697,0.18227457426801813,0.22330097087378642,,,
27,ensemble,0.49954538749016514,0.7998692851796801,0.21053232823054707,0.3883495145631068,,,
27,cg20,0.35168086376153346,0.8141635832727196,0.2600131391556524,0.47572815533980584,0.027663010270872798,0.7551956233429437,20.0
27,diagonal_pcg20,0.7033654267398612,0.8807648925292264,0.286410421302852,0.6019417475728155,0.021792726495871818,0.5949378433236197,20.0
27,poisson_pcg20,0.9999653771189471,1.0,0.34343424190805866,1.0,0.0001404382196953969,0.003833940262665864,20.0
27,amg,0.8198004881625063,0.8830629434025911,0.28988800015232413,0.5922330097087378,0.019365526879341167,0.5286756936358235,
28,raw,0.3922334887525928,0.8544216396276736,0.3250342234449424,0.5922330097087378,,,
28,prediction_magnitude,0.7057429390780344,0.8846441710677503,0.17258804414414647,0.1941747572815534,,,
28,ensemble,0.5934622657535226,0.8607254672527751,0.26644024138480527,0.44660194174757284,,,
28,cg20,0.4531477317430799,0.8505739856424528,0.31423132928515396,0.5533980582524272,0.01096319943073137,0.8940169166416984,20.0
28,diagonal_pcg20,0.3431189761998426,0.6258709929055586,0.16850932633652543,0.1650485436893204,0.012352599979029816,1.0073184762838727,20.0
28,poisson_pcg20,0.9999996982511979,1.0,0.41334158532980414,1.0,1.6262408901041712e-06,0.00013261519827981378,20.0
28,amg,0.8397105781954081,0.9760496716317215,0.3905945719588184,0.7378640776699029,0.00532553455911377,0.43428180031657765,
29,raw,0.17148224599456405,0.6857995214150934,0.15856429725330787,0.1941747572815534,,,
29,prediction_magnitude,0.44899415948430016,0.7662840095716982,0.10857057377929691,0.1553398058252427,,,
29,ensemble,0.2752811851798869,0.7480788083868315,0.17770835418879663,0.27184466019417475,,,
29,cg20,0.3287061458407839,0.8218272666898581,0.2797892625828952,0.47572815533980584,0.019296038253398266,0.6833237465928733,20.0
29,diagonal_pcg20,0.8881055539660968,0.997596533948958,0.3783525657014246,0.9320388349514563,0.004919107244113355,0.17419859702795254,20.0
29,poisson_pcg20,0.9999405107824906,1.0,0.3809440973683897,1.0,9.679960214259171e-05,0.003427929916812135,20.0
29,amg,0.9723287854945997,0.9982711910860925,0.3793386828245927,0.9320388349514563,0.005168777620386585,0.18304008535254324,
30,raw,0.4478998506902224,0.7422704320968133,0.17843591786113486,0.18446601941747573,,,
30,prediction_magnitude,0.4292823072383949,0.5750925018184118,0.141689302251662,0.0,,,
30,ensemble,0.793156013071311,0.9709475770321411,0.32147326551394306,0.7087378640776699,,,
30,cg20,0.4998095741542093,0.8713618586804128,0.23338168531248818,0.5825242718446602,0.07775613647101287,0.8779744641507115,20.0
30,diagonal_pcg20,0.4985704259351978,0.9957201437863024,0.32787959931684957,0.9029126213592233,0.06577134620747518,0.7426495845058639,20.0
30,poisson_pcg20,0.9999891705707745,1.0,0.34157350297467653,1.0,0.00011395276435590005,0.001286684521178093,20.0
