sample,iterations,iterations_executed,cg_info,bound,a_min,actual_contrast,resolved_fraction,all_cells_resolved,certified_top10_recall,certified_high_count,certified_low_count,mean_bound_over_mean_abs_error,flux_to_baseline_bound_ratio,corrected_prediction_relative_l2,relative_l2_correction_error,same_A_identity_relative_error,numeric_tolerance,false_high,false_low,bound_violations,raw_positive_bound_exceedances,max_positive_bound_excess_over_error_scale,positive_flux_excess_over_baseline_bound,baseline_flags_lost_by_flux
159,40,40,40,baseline,1.0,100.0,1.0,True,1.0,103,921,4.5385266934027555e-05,0.40297674820498874,1.861642404080089e-09,7.590379293955806e-08,8.222927676823538e-15,4.227011372941693e-13,0,0,0,0,0.0,0.0,0
159,40,40,40,equilibrated_flux,1.0,100.0,1.0,True,1.0,103,921,1.828920728548982e-05,0.40297674820498874,1.861642404080089e-09,7.590379293955806e-08,8.222927676823538e-15,4.227011372941693e-13,0,0,0,0,0.0,0.0,0
160,20,20,20,baseline,1.0,100.0,0.8955078125,False,0.6601941747572816,68,849,0.32768035869179907,0.6984601655554865,0.00023652731271678727,0.006020262048041757,7.518593357133109e-15,6.077189809273995e-13,0,0,0,0,0.0,0.0,0
160,20,20,20,equilibrated_flux,1.0,100.0,0.927734375,False,0.7378640776699029,76,874,0.2288716775811552,0.6984601655554865,0.00023652731271678727,0.006020262048041757,7.518593357133109e-15,6.077189809273995e-13,0,0,0,0,0.0,0.0,0
160,40,40,40,baseline,1.0,100.0,1.0,True,1.0,103,921,9.277776434924888e-05,0.6427784782223455,3.603848552396023e-08,9.172772657322779e-07,7.518593357133109e-15,6.077189809273995e-13,0,0,0,0,0.0,0.0,0
160,40,40,40,equilibrated_flux,1.0,100.0,1.0,True,1.0,103,921,5.963555018128158e-05,0.6427784782223455,3.603848552396023e-08,9.172772657322779e-07,7.518593357133109e-15,6.077189809273995e-13,0,0,0,0,0.0,0.0,0
161,20,20,20,baseline,1.0,100.0,0.966796875,False,0.883495145631068,91,899,0.05066905143612921,0.5018084664674453,4.213124371883643e-06,0.0002805628973918833,2.0968819196288775e-14,3.98696418781319e-13,0,0,0,0,0.0,0.0,0
161,20,20,20,equilibrated_flux,1.0,100.0,0.9814453125,False,0.912621359223301,94,911,0.025426158998524104,0.5018084664674453,4.213124371883643e-06,0.0002805628973918833,2.0968819196288775e-14,3.98696418781319e-13,0,0,0,0,0.0,0.0,0
161,40,40,40,baseline,1.0,100.0,1.0,True,1.0,103,921,5.105968453600866e-06,0.4970230092835725,2.126499640426668e-10,1.4160913659168883e-08,2.0968819196288775e-14,3.98696418781319e-13,0,0,0,0,0.0,0.0,0
161,40,40,40,equilibrated_flux,1.0,100.0,1.0,True,1.0,103,921,2.5377838061156916e-06,0.4970230092835725,2.126499640426668e-10,1.4160913659168883e-08,2.0968819196288775e-14,3.98696418781319e-13,0,0,0,0,0.0,0.0,0
162,20,20,20,baseline,1.0,100.0,0.890625,False,0.5728155339805825,59,853,0.23655317581065083,0.5560245973226334,1.273890675618021e-05,0.0009852197357578154,3.071734660869307e-14,4.0083974477587086e-13,0,0,0,0,0.0,0.0,0
162,20,20,20,equilibrated_flux,1.0,100.0,0.9384765625,False,0.7087378640776699,73,888,0.13152938432550723,0.5560245973226334,1.273890675618021e-05,0.0009852197357578154,3.071734660869307e-14,4.0083974477587086e-13,0,0,0,0,0.0,0.0,0
162,40,40,40,baseline,1.0,100.0,1.0,True,1.0,103,921,1.973502246710483e-06,0.5529101107280951,3.177250454621544e-10,2.457267245588561e-08,3.071734660869307e-14,4.0083974477587086e-13,0,0,0,0,0.0,0.0,0
162,40,40,40,equilibrated_flux,1.0,100.0,1.0,True,1.0,103,921,1.0911693457508376e-06,0.5529101107280951,3.177250454621544e-10,2.457267245588561e-08,3.071734660869307e-14,4.0083974477587086e-13,0,0,0,0,0.0,0.0,0
163,20,20,20,baseline,1.0,100.0,0.8076171875,False,0.27184466019417475,28,799,0.528604003186152,0.6264863864343019,0.00046363626785213567,0.0063808781059374944,1.3205323415831256e-14,6.669190203053121e-13,0,0,0,0,0.0,0.0,0
163,20,20,20,equilibrated_flux,1.0,100.0,0.873046875,False,0.42718446601941745,44,850,0.33116321181079855,0.6264863864343019,0.00046363626785213567,0.0063808781059374944,1.3205323415831256e-14,6.669190203053121e-13,0,0,0,0,0.0,0.0,0
163,40,40,40,baseline,1.0,100.0,1.0,True,1.0,103,921,7.958074536781605e-05,0.7080705378405941,6.204080000864504e-08,8.538477464141639e-07,1.3205323415831256e-14,6.669190203053121e-13,0,0,0,0,0.0,0.0,0
163,40,40,40,equilibrated_flux,1.0,100.0,1.0,True,1.0,103,921,5.634878117434488e-05,0.7080705378405941,6.204080000864504e-08,8.538477464141639e-07,1.3205323415831256e-14,6.669190203053121e-13,0,0,0,0,0.0,0.0,0
164,20,20,20,baseline,1.0,100.0,0.9892578125,False,0.9902912621359223,102,911,0.022990315247984755,0.6260669786214876,2.8524141174715367e-06,0.0002443101722555914,2.0347785955919006e-14,2.908378457091176e-13,0,0,0,0,0.0,0.0,0
164,20,20,20,equilibrated_flux,1.0,100.0,0.9912109375,False,0.9902912621359223,102,913,0.01439347720486133,0.6260669786214876,2.8524141174715367e-06,0.0002443101722555914,2.0347785955919006e-14,2.908378457091176e-13,0,0,0,0,0.0,0.0,0
164,40,40,40,baseline,1.0,100.0,1.0,True,1.0,103,921,1.6042720983938907e-06,0.5332821347099184,2.3468968715906286e-11,2.010124672627202e-09,2.0347785955919006e-14,2.908378457091176e-13,0,0,0,0,0.0,0.0,0
164,40,40,40,equilibrated_flux,1.0,100.0,1.0,True,1.0,103,921,8.555296492870545e-07,0.5332821347099184,2.3468968715906286e-11,2.010124672627202e-09,2.0347785955919006e-14,2.908378457091176e-13,0,0,0,0,0.0,0.0,0
165,20,20,20,baseline,1.0,100.0,0.9345703125,False,0.6699029126213593,69,888,0.17444720638432837,0.5545529992923429,3.7134786495299903e-06,0.000265153492207294,1.850778086873324e-14,4.5208101802519794e-13,0,0,0,0,0.0,0.0,0
165,20,20,20,equilibrated_flux,1.0,100.0,0.958984375,False,0.7669902912621359,79,903,0.09674022151859964,0.5545529992923429,3.7134786495299903e-06,0.000265153492207294,1.850778086873324e-14,4.5208101802519794e-13,0,0,0,0,0.0,0.0,0
165,40,40,40,baseline,1.0,100.0,1.0,True,1.0,103,921,2.9108715984690128e-06,0.5695229374415361,3.4770191844558765e-10,2.4826957759122323e-08,1.850778086873324e-14,4.5208101802519794e-13,0,0,0,0,0.0,0.0,0
165,40,40,40,equilibrated_flux,1.0,100.0,1.0,True,1.0,103,921,1.657808143275212e-06,0.5695229374415361,3.4770191844558765e-10,2.4826957759122323e-08,1.850778086873324e-14,4.5208101802519794e-13,0,0,0,0,0.0,0.0,0
166,20,20,20,baseline,1.0,100.0,0.0107421875,False,0.10679611650485436,11,0,1.496315518861411,0.5796770759448802,0.00022600959381113698,0.00931309765995758,2.0043871637373465e-14,5.007374036560571e-13,0,0,0,0,0.0,0.0,0
166,20,20,20,equilibrated_flux,1.0,100.0,0.3212890625,False,0.21359223300970873,22,307,0.8673798046645289,0.5796770759448802,0.00022600959381113698,0.00931309765995758,2.0043871637373465e-14,5.007374036560571e-13,0,0,0,0,0.0,0.0,0
166,40,40,40,baseline,1.0,100.0,1.0,True,1.0,103,921,2.4504966158891574e-05,0.6421122796358487,5.9175747883963275e-09,2.438434181120753e-07,2.0043871637373465e-14,5.007374036560571e-13,0,0,0,0,0.0,0.0,0
166,40,40,40,equilibrated_flux,1.0,100.0,1.0,True,1.0,103,921,1.57349396826852e-05,0.6421122796358487,5.9175747883963275e-09,2.438434181120753e-07,2.0043871637373465e-14,5.007374036560571e-13,0,0,0,0,0.0,0.0,0
167,20,20,20,baseline,1.0,100.0,0.7607421875,False,0.23300970873786409,24,755,0.35178940519269813,0.5245582902539684,0.00014583691771354341,0.003221429336915637,8.333562580231676e-15,4.902367797600146e-13,0,0,0,0,0.0,0.0,0
167,20,20,20,equilibrated_flux,1.0,100.0,0.8564453125,False,0.4174757281553398,43,834,0.1845340489173422,0.5245582902539684,0.00014583691771354341,0.003221429336915637,8.333562580231676e-15,4.902367797600146e-13,0,0,0,0,0.0,0.0,0
167,40,40,40,baseline,1.0,100.0,1.0,True,1.0,103,921,5.015636872317599e-05,0.5744337599791702,1.949670712084547e-08,4.306677984784639e-07,8.333562580231676e-15,4.902367797600146e-13,0,0,0,0,0.0,0.0,0
